annoy	python-annoy
apache-airflow	airflow
apache-superset	superset
apoc	apoc-backend
arch	arch-py
arrakis-schema	python-arrakis-schema
asap3	asap
astropy	astropy-base
authzed	authzed-py
avro-python3	python-avro
b2	backblaze-b2
backports-ssl-match-hostname	ssl_match_hostname
backtrace	python-backtrace
bake-cli	bake
bash-completion	py-bash-completion
bgzip	py-bgzip
birdhouse-birdy	birdy
birdhouse-raven	raven-wps
blis	cython-blis
blosc	python-blosc
boruta	boruta_py
bowtie	bowtie-py
build	python-build
bullet	bullet-python
captest	pvcaptest
ceci	lsstdesc-ceci
chi2comb	chi2comb-py
cityhash	python-cityhash
cockroachdb	cockroachdb-python
collatex	collatex-python
coreapi	python-coreapi
couchdb	python-couchdb
crlibm	pycrlibm
cufflinks	python-cufflinks
dashing	python-dashing
datadotworld	datadotworld-py
datalab-platform	datalab
decoupler	decoupler-py
delegator-py	delegator
devtools	python-devtools
dinosaur	dinosaur-dycore
docker	docker-py
dremio-client	python-dremio-client
duckdb	python-duckdb
duet	duet-python
edgedb	edgedb-python
epiweeks	epiweeks4cf
esmf-regrid	iris-esmf-regrid
esprima	esprima-python
extract-msg	msg-extractor
fastjsonschema	python-fastjsonschema
ff3	python-fpe
fief-client	fief-client-fastapi
flatbuffers	python-flatbuffers
flex	flex-swagger
geotiff	python-geotiff
glfw	pyglfw
glpk	pyglpk
gnupg	gnupg-py
google	googlesearch
graphviz	python-graphviz
groovy	groovy-python
gssapi	python-gssapi
h2o	h2o-py
hdfs	python-hdfs
hjson	hjson-py
hunspell	pyhunspell
icc	python-icc
igraph	python-igraph
installer	python-installer
intake-astro	intake-accumulo
ipi	i-pi
ipopt	cyipopt
isal	python-isal
jsii	python-jsii
juliacall	pyjuliacall
juliapkg	pyjuliapkg
juliaup	pyjuliaup
jupyterlab-omnisci	omnisci-pytools
kalpy-kaldi	kalpy
kerberos	python-kerberos
kraken	kraken-ocr
krb5	pykrb5
kubernetes	python-kubernetes
leveldb	python-leveldb
libaio	python-libaio
libigl	igl
libssr	libssr-py
libsvm	libsvm-python
light-curve	light-curve-python
liknorm	liknorm-py
lit	lit-nlp
lrcalc	python-lrcalc
marray	marray-python
matplotlib	matplotlib-base
meshcat	meshcat-python
mesmer-emulator	mesmer
metatensor-core	python-metatensor-core
metatensor-learn	python-metatensor-learn
metatensor-operations	python-metatensor-operations
metatomic-ase	python-metatomic-ase
metatomic-torch	python-metatomic-torch
miranda	python-miranda
msgpack	msgpack-python
mss	python-mss
nco	pynco
neo	python-neo
node-semver	python-node-semver
nu-gitflow	gitflow
numpy-quaternion	quaternion
nvidia-ml-py3	nvidia-ml
ollama	ollama-python
om-pycycle	pycycle
openalpr	py-openalpr
opencv-python	opencv
opencv-python-headless	opencv
openmesh	openmesh-python
pandera	pandera-core
paragraph	python-paragraph
parquet	parquet-python
patch	python-patch
pdfkit	python-pdfkit
pin-pink	pink
pisces	pisces-db
planarity	python-planarity
podman	podman-py
primesieve	python-primesieve
prince	prince-factor-analysis
psycopg2-binary	psycopg2
pyam-iamc	pyam
pyfai	pyfai-base
pyhyperscattering	pyhyperscattering-base
pymca5	pymca
pyqt4	pyqt
pyqt5	pyqt
pyrad-mch	pyrad_arm
pyscamp	pyscamp-cpu
python-fileinspector	fileinspector
python-pseudorandom	pseudorandom
python-pygaze	pygaze
python-qdatamatrix	qdatamatrix
python-qnotifications	qnotifications
python-seispy	seispy
python-vipaccess	vipaccess
qtconsole	qtconsole-base
quickjs	python-quickjs
ray	ray-core
rbc-project	rbc
redis	redis-py
releases	sphinx-releases
relion	python-relion
ribs	pyribs-base
rush	rush-throttle
sagemaker	sagemaker-python-sdk
sagemaker-mxnet-training	sagemaker_mxnet_container
seaborn	seaborn-base
segment-anything-py	segment-anything
selinux	python-selinux
smokescreen	lsstdesc-smokescreen
soundcard	pysoundcard
sounddevice	python-sounddevice
soxr	soxr-python
spyder	spyder-base
stratify	python-stratify
substrait	python-substrait
suitesparse-graphblas	python-suitesparse-graphblas
symengine	python-symengine
systemd-python	python-systemd
tables	pytables
termstyle	python-termstyle
tiledb	tiledb-py
torch	pytorch
torch-cluster	pytorch_cluster
torch-sparse	pytorch_sparse
torch-spline-conv	pytorch_spline_conv
tzdata	python-tzdata
vesin	python-vesin
virtue-skill	virtue
vsts	vsts-python-api
wasmtime	wasmtime-py
webp	pywebp
wget	python-wget
wgpu	wgpu-py
xxhash	python-xxhash
yggdrasil-framework	yggdrasil
yoda-tools	yodatools
zlib-ng	python-zlib-ng
zstd	python-zstd
